"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EIF2S2",5.88589240865358e-05,0.341892941392815,0.375,0.167,0.774524582054724,"GC B","EIF2S2"
"SERBP1",6.84160571884436e-05,0.281664909839341,0.5,0.242,0.900286896542729,"GC B","SERBP1"
"CAP1",7.71227824170947e-05,0.254497817714275,0.312,0.124,1,"GC B","CAP1"
"RHOA",9.28648064768374e-05,0.276492611423653,0.354,0.153,1,"GC B","RHOA"
"UQCR10",9.6495305648934e-05,0.282049460049573,0.333,0.141,1,"GC B","UQCR10"
"ELOB",0.00010291979452207,0.33715357053542,0.312,0.13,1,"GC B","ELOB"
"SUMO2",0.000107892266984859,0.342559698211564,0.396,0.186,1,"GC B","SUMO2"
"COX17",0.000129395294621525,0.309693405324511,0.271,0.107,1,"GC B","COX17"
"TPM3",0.000140033443894746,0.286122417963183,0.5,0.259,1,"GC B","TPM3"
"SELENOH",0.000143234185634855,0.279384132495993,0.292,0.117,1,"GC B","SELENOH"
"RPS7",0.000147463807032217,0.473005373868073,0.708,0.516,1,"GC B","RPS7"
"CD79A",0.000168812083514909,0.350853511580962,0.729,0.459,1,"GC B","CD79A"
"ARPC1B",0.000184590256150258,0.253719558958796,0.271,0.107,1,"GC B","ARPC1B"
"RPL10A",0.000189285355541849,0.311292038027012,0.625,0.376,1,"GC B","RPL10A"
"NCF1C",0.000289392588899077,0.257200271462209,0.333,0.149,1,"GC B","NCF1C"
"SFPQ",0.000335694878796963,0.273215508805529,0.396,0.192,1,"GC B","SFPQ"
"SYNGR2",0.00039356777781556,0.27659853157434,0.396,0.197,1,"GC B","SYNGR2"
"COMMD6",0.000402781550817095,0.380105233314021,0.479,0.275,1,"GC B","COMMD6"
"RPL28",0.000526643396351567,0.335798146504135,0.854,0.669,1,"GC B","RPL28"
"ATP6V1G1",0.000556183628855588,0.321106815209491,0.417,0.224,1,"GC B","ATP6V1G1"
"CD53",0.000594367611710074,0.287654325792317,0.521,0.286,1,"GC B","CD53"
"PTMA",0.000646454705830642,0.530991344371319,0.958,0.912,1,"GC B","PTMA"
"HNRNPD",0.00102431135760338,0.389937531151494,0.458,0.275,1,"GC B","HNRNPD"
"CYBA",0.00113665189179784,0.285300866862425,0.604,0.381,1,"GC B","CYBA"
"ATP5F1E",0.00117221769224744,0.414984539688019,0.667,0.48,1,"GC B","ATP5F1E"
"SMIM14",0.00138030037674289,0.309892119624852,0.417,0.232,1,"GC B","SMIM14"
"EIF1",0.00188161497169054,0.300670765819616,0.729,0.511,1,"GC B","EIF1"
"MEF2C",0.00188410881488335,0.309912551649451,0.542,0.361,1,"GC B","MEF2C"
"NUCKS1",0.00199953982711563,0.266906504478095,0.479,0.28,1,"GC B","NUCKS1"
"HINT1",0.00200732849775419,0.286276510891596,0.438,0.252,1,"GC B","HINT1"
"NDUFA13",0.00231825365561292,0.281177195093614,0.271,0.129,1,"GC B","NDUFA13"
"HMGN2",0.00309534224350309,0.414559180336686,0.292,0.152,1,"GC B","HMGN2"
"HLA-DMB",0.00355869076521789,0.402078298507524,0.5,0.339,1,"GC B","HLA-DMB"
"UQCRB",0.0040797777155179,0.296243082955013,0.625,0.426,1,"GC B","UQCRB"
"NPM1",0.00444326549868027,0.353332919973228,0.562,0.41,1,"GC B","NPM1"
"RPL21P28",0.00741990776084508,0.262235706664562,0.688,0.524,1,"GC B","RPL21P28"
"COX7A2",0.00950003109498086,0.272259975079676,0.312,0.175,1,"GC B","COX7A2"
"IGLC2",0,1.0318261838912,1,0.375,0,"B PRE","IGLC2"
"IGLC3",0,0.938406665025027,0.831,0.151,0,"B PRE","IGLC3"
"IGHD",0,1.02916123141211,0.683,0.131,0,"B NVE","IGHD"
"TCL1A1",0,0.795285450042565,0.477,0.048,0,"B NVE","TCL1A"
"IGHM",1.18324012508731e-304,0.867688909150086,0.807,0.303,1.55702568060239e-300,"B NVE","IGHM"
"RPS19",2.41855918164887e-70,0.389733018620317,0.958,0.916,3.18258202713175e-66,"B NVE","RPS19"
"RPL18A",6.50461776812217e-53,0.36209951100175,0.896,0.818,8.55942652107196e-49,"B NVE","RPL18A"
"HLA-DRB11",2.02358182514785e-50,0.364486187886542,0.861,0.768,2.66283132371206e-46,"B NVE","HLA-DRB1"
"TMSB10",2.1749792796174e-38,0.330735840228298,0.68,0.545,2.86205523404853e-34,"B NVE","TMSB10"
"CD52",4.99937012985076e-29,0.2515607925142,0.967,0.939,6.57867115387062e-25,"B NVE","CD52"
"MEF2C1",1.28615110137876e-27,0.294544244583379,0.468,0.335,1.69244623430431e-23,"B NVE","MEF2C"
"CD69",2.33986130379483e-180,0.847931944357956,0.802,0.468,3.07902348966362e-176,"B MEM ACT","CD69"
"KLF6",3.00311611655574e-115,0.577640139249698,0.533,0.252,3.9518004977757e-111,"B MEM ACT","KLF6"
"JUN",1.61211379599356e-114,0.667604681557298,0.7,0.431,2.12138054414792e-110,"B MEM ACT","JUN"
"EGR11",1.39822010808397e-108,0.444973696130764,0.285,0.079,1.83991784022769e-104,"B MEM ACT","EGR1"
"DUSP1",8.21656353678677e-99,0.460040585401664,0.576,0.298,1.08121759580577e-94,"B MEM ACT","DUSP1"
"FOS1",3.08068292718349e-80,0.48752686702845,0.451,0.224,4.05387066388075e-76,"B MEM ACT","FOS"
"H3F3B",5.55172403296174e-71,0.475982230645514,0.723,0.511,7.30551365497435e-67,"B MEM ACT","H3F3B"
"JUNB",1.13968857535281e-60,0.328052510167002,0.397,0.198,1.49971619630676e-56,"B MEM ACT","JUNB"
"IER2",2.48017886708863e-47,0.291672380942449,0.277,0.128,3.26366737120193e-43,"B MEM ACT","IER2"
"HSP90AA1",3.33074304986928e-46,0.381723684907361,0.575,0.394,4.38292477932299e-42,"B MEM ACT","HSP90AA1"
"SAT1",7.19362656062422e-44,0.309332969324908,0.411,0.239,9.46609319112541e-40,"B MEM ACT","SAT1"
"ZFP36L2",3.3445997714074e-36,0.273689440872136,0.622,0.451,4.40115883919499e-32,"B MEM ACT","ZFP36L2"
"TSC22D3",2.1367561582482e-33,0.266763231979281,0.498,0.343,2.8117574286388e-29,"B MEM ACT","TSC22D3"
"IGHA2",0,1.18126216738271,0.74,0.05,0,"B MEM IgA+","IGHA2"
"IGHA1",0,1.15917241763369,0.924,0.152,0,"B MEM IgA+","IGHA1"
"HES1",0,2.09310289782787,1,0.051,0,"B MZ","HES1"
"RGS11",9.23473989017637e-10,0.394432750724565,0.363,0.217,1.21519942214831e-05,"B MZ","RGS1"
"H3F3B1",2.55299632829508e-08,0.329553201431654,0.696,0.55,0.000335948786840349,"B MZ","H3F3B"
"CD691",2.3949192496664e-05,0.330326038316676,0.626,0.535,0.315147424063601,"B MZ","CD69"
"IGLV2-14",0,1.74684681141887,1,0.024,0,"B B2","IGLV2-14"
"IGLC21",3.79079630952964e-57,0.834486392557561,0.931,0.434,4.98830886371006e-53,"B B2","IGLC2"
"MTATP6P1",2.97191342702288e-05,0.33931561346462,0.676,0.548,0.391074087861941,"B B2","MTATP6P1"
"MT-ND4L",0.000594315498296848,0.290659420652906,0.807,0.681,1,"B B2","MT-ND4L"
"IGHG4",0,3.44725995988432,0.858,0.082,0,"B PC IgG+","IGHG4"
"IGHG3",0,3.38467477748236,0.81,0.108,0,"B PC IgG+","IGHG3"
"IGHG1",0,3.16114107829622,0.886,0.138,0,"B PC IgG+","IGHG1"
"IGHGP",0,2.66043960256336,0.599,0.019,0,"B PC IgG+","IGHGP"
"IGHM1",1.19017332411785e-33,0.450264467964768,0.14,0.426,1.56614907720668e-29,"B PC IgG+","IGHM"
"SSR4",2.53767428429383e-18,0.494158599189396,0.254,0.124,3.33932559070225e-14,"B PC IgG+","SSR4"
"HSP90B1",2.83121941378188e-05,0.272469094857058,0.254,0.188,0.372560162659558,"B PC IgG+","HSP90B1"
"IGLC22",0.00157266485380906,3.01924566500678,0.375,0.449,1,"B PC IgG+","IGLC2"
